gold,exp,rarity_roll,monsters,gold_multiplier,final_gold,rarity
75,162,0.30884509560372886,Goblin,1.0,75.0,common
20,149,0.34228317106838446,Goblin,1.0,20.0,common
49,128,0.9647701328373745,Goblin,1.0,49.0,legendary
69,54,0.40499517760766757,Orc,2.0,138.0,common
72,121,0.24362183421779382,Orc,2.0,144.0,common
19,88,0.2102724265353486,Goblin,1.0,19.0,common
32,84,0.2228530112408169,Dragon,10.0,320.0,common
62,154,0.528873887089154,Goblin,1.0,62.0,common
17,116,0.8321454808850449,Goblin,1.0,17.0,rarity
36,60,0.7212477155807608,Goblin,1.0,36.0,common
14,51,0.0074999755927214196,Orc,2.0,28.0,common
94,164,0.2950209906067889,Goblin,1.0,94.0,common
19,169,0.6718464330284273,Orc,2.0,38.0,common
94,78,0.27876561343962425,Orc,2.0,188.0,common
42,59,0.8228580781004408,Orc,2.0,84.0,rarity
68,101,0.8682726553530596,Orc,2.0,136.0,rarity
90,132,0.5992987248580218,Goblin,1.0,90.0,common
63,156,0.4224494421115699,Dragon,10.0,630.0,common
36,81,0.6313473423661812,Goblin,1.0,36.0,common
13,153,0.012436003696403741,Goblin,1.0,13.0,common
61,100,0.8872870009316158,Goblin,1.0,61.0,rarity
47,55,0.4894610880231489,Goblin,1.0,47.0,common
14,166,0.3723099642424612,Orc,2.0,28.0,common
87,61,0.6389174589138421,Dragon,10.0,870.0,common
33,66,0.644039531394909,Orc,2.0,66.0,common
47,98,0.8099857037910024,Orc,2.0,94.0,rarity
74,94,0.10998796422305701,Goblin,1.0,74.0,common
58,160,0.17013069653231083,Goblin,1.0,58.0,common
56,112,0.885157963890249,Goblin,1.0,56.0,rarity
39,147,0.7295820215662223,Goblin,1.0,39.0,common
38,180,0.626866518178935,Goblin,1.0,38.0,common
82,84,0.510130754600555,Goblin,1.0,82.0,common
68,119,0.7458101816552365,Goblin,1.0,68.0,common
65,55,0.2623465689838834,Goblin,1.0,65.0,common
49,172,0.6877387060474199,Orc,2.0,98.0,common
71,151,0.43171910672360514,Goblin,1.0,71.0,common
40,60,0.513614187066947,Orc,2.0,80.0,common
93,100,0.11384583895578348,Goblin,1.0,93.0,common
32,184,0.4594758202273247,Orc,2.0,64.0,common
70,114,0.8511476823904106,Orc,2.0,140.0,rarity
72,144,0.9315458261002233,Goblin,1.0,72.0,rarity
44,189,0.1766372351747828,Goblin,1.0,44.0,common
46,141,0.001656311129354937,Orc,2.0,92.0,common
68,51,0.31471555238921634,Goblin,1.0,68.0,common
78,190,0.9195585902870587,Goblin,1.0,78.0,rarity
21,154,0.04585660288421878,Goblin,1.0,21.0,common
92,177,0.7175983021040908,Goblin,1.0,92.0,common
37,182,0.4121829886254247,Goblin,1.0,37.0,common
60,76,0.2885297447394445,Orc,2.0,120.0,common
25,77,0.8148591739447041,Goblin,1.0,25.0,rarity
21,100,0.461658474264812,Goblin,1.0,21.0,common
13,111,0.9605091598727293,Goblin,1.0,13.0,legendary
34,154,0.6383436172054386,Goblin,1.0,34.0,common
92,63,0.29921386683649087,Orc,2.0,184.0,common
79,109,0.11062030120521826,Orc,2.0,158.0,common
38,143,0.5582616502614619,Goblin,1.0,38.0,common
74,91,0.45759271680803415,Goblin,1.0,74.0,common
59,123,0.9603263476023924,Orc,2.0,118.0,legendary
84,176,0.05996163636793783,Orc,2.0,168.0,common
19,60,0.6196546465196748,Orc,2.0,38.0,common
45,194,0.4002917264871102,Goblin,1.0,45.0,common
70,77,0.022348067525488347,Orc,2.0,140.0,common
60,51,0.19804482506382437,Goblin,1.0,60.0,common
89,100,0.47104855890401887,Goblin,1.0,89.0,common
54,91,0.22045586697703534,Orc,2.0,108.0,common
23,120,0.7758161853976827,Goblin,1.0,23.0,common
54,107,0.2995398042752109,Goblin,1.0,54.0,common
90,55,0.530535877056104,Goblin,1.0,90.0,common
31,146,0.1835429749936649,Goblin,1.0,31.0,common
73,137,0.11203428998876652,Goblin,1.0,73.0,common
41,179,0.10834260297927889,Orc,2.0,82.0,common
11,175,0.5792034962791673,Goblin,1.0,11.0,common
53,124,0.7980656359350062,Goblin,1.0,53.0,common
31,123,0.3254635055851882,Goblin,1.0,31.0,common
29,165,0.8168017091096632,Orc,2.0,58.0,rarity
66,158,0.5764917341984507,Goblin,1.0,66.0,common
61,127,0.9839566883540526,Orc,2.0,122.0,legendary
90,67,0.21146844314727564,Orc,2.0,180.0,common
53,166,0.13272085579903092,Dragon,10.0,530.0,common
82,66,0.4386655356065522,Goblin,1.0,82.0,common
66,142,0.7087745536381272,Orc,2.0,132.0,common
28,142,0.06609880036755456,Goblin,1.0,28.0,common
32,113,0.3509772479505683,Orc,2.0,64.0,common
83,96,0.22844749668451192,Goblin,1.0,83.0,common
97,154,0.20108049119689442,Orc,2.0,194.0,common
34,57,0.5459024756205189,Goblin,1.0,34.0,common
85,155,0.4773811579249134,Dragon,10.0,850.0,common
26,103,0.8568352976237165,Orc,2.0,52.0,rarity
50,100,0.345345319156258,Orc,2.0,100.0,common
42,82,0.2469853102195173,Goblin,1.0,42.0,common
17,110,0.7474341631458817,Orc,2.0,34.0,common
60,131,0.057499356390456335,Goblin,1.0,60.0,common
36,51,0.7174261584303703,Goblin,1.0,36.0,common
95,156,0.620153361105156,Goblin,1.0,95.0,common
92,125,0.4072878871430592,Goblin,1.0,92.0,common
55,198,0.6948848771020335,Goblin,1.0,55.0,common
96,59,0.5471179212827648,Goblin,1.0,96.0,common
65,185,0.8826642634946283,Orc,2.0,130.0,rarity
65,176,0.3085536284442504,Goblin,1.0,65.0,common
17,73,0.662774397114344,Goblin,1.0,17.0,common
45,119,0.6090641145455604,Orc,2.0,90.0,common
52,178,0.949478085066656,Goblin,1.0,52.0,rarity
42,184,0.958706975206231,Orc,2.0,84.0,legendary
19,164,0.9378490854312385,Orc,2.0,38.0,rarity
35,153,0.3980735491520484,Goblin,1.0,35.0,common
95,196,0.0735751746845521,Goblin,1.0,95.0,common
71,147,0.11046111008357695,Goblin,1.0,71.0,common
91,113,0.928028896347934,Goblin,1.0,91.0,rarity
24,84,0.6586930882258013,Goblin,1.0,24.0,common
47,151,0.8580247227484461,Goblin,1.0,47.0,rarity
42,136,0.8173408099879571,Goblin,1.0,42.0,rarity
17,54,0.898524290195268,Orc,2.0,34.0,rarity
81,173,0.7369169762259569,Goblin,1.0,81.0,common
67,187,0.31450528896021546,Goblin,1.0,67.0,common
49,144,0.1476560737923842,Goblin,1.0,49.0,common
12,143,0.43387826372677296,Goblin,1.0,12.0,common
48,119,0.6798912464844847,Orc,2.0,96.0,common
58,68,0.0029849546464844057,Goblin,1.0,58.0,common
39,199,0.7517136970563101,Dragon,10.0,390.0,common
59,145,0.8701747171091099,Orc,2.0,118.0,rarity
15,166,0.4872752388480578,Goblin,1.0,15.0,common
93,132,0.3400010232595646,Orc,2.0,186.0,common
93,145,0.3883032847748352,Orc,2.0,186.0,common
80,193,0.5200198389593235,Goblin,1.0,80.0,common
41,192,0.6988762018550513,Orc,2.0,82.0,common
53,63,0.23078365795039668,Orc,2.0,106.0,common
73,128,0.6297399527535044,Goblin,1.0,73.0,common
55,196,0.21015103504652277,Orc,2.0,110.0,common
18,68,0.21014042086591023,Orc,2.0,36.0,common
64,188,0.04554721920672733,Goblin,1.0,64.0,common
45,190,0.9792362305535233,Goblin,1.0,45.0,legendary
38,160,0.7121047058068828,Goblin,1.0,38.0,common
57,99,0.6152346724780147,Goblin,1.0,57.0,common
61,129,0.8269027930988417,Orc,2.0,122.0,rarity
40,64,0.9253261405947448,Orc,2.0,80.0,rarity
52,54,0.3557929850256337,Orc,2.0,104.0,common
34,196,0.13718763324462024,Orc,2.0,68.0,common
95,74,0.7803785014904138,Goblin,1.0,95.0,common
26,107,0.1866613159148418,Goblin,1.0,26.0,common
25,153,0.8746332048366074,Goblin,1.0,25.0,rarity
95,191,0.407895340631362,Goblin,1.0,95.0,common
79,158,0.19920044545743132,Goblin,1.0,79.0,common
69,113,0.12437112294290265,Orc,2.0,138.0,common
22,79,0.09170181646131104,Orc,2.0,44.0,common
99,126,0.7851824624563832,Goblin,1.0,99.0,common
38,65,0.9396773862589137,Goblin,1.0,38.0,rarity
86,134,0.9660460711462459,Orc,2.0,172.0,legendary
20,90,0.558143447209795,Goblin,1.0,20.0,common
19,157,0.06654327738909271,Goblin,1.0,19.0,common
12,124,0.9608985862608286,Goblin,1.0,12.0,legendary
18,150,0.980093688033482,Goblin,1.0,18.0,legendary
79,129,0.6761479804404823,Goblin,1.0,79.0,common
88,188,0.9893408781303156,Goblin,1.0,88.0,legendary
61,107,0.4126594726276953,Goblin,1.0,61.0,common
41,126,0.8595395046998149,Dragon,10.0,410.0,rarity
13,122,0.10282927858336433,Goblin,1.0,13.0,common
38,53,0.7261854192853839,Goblin,1.0,38.0,common
61,69,0.5190705215526881,Orc,2.0,122.0,common
37,188,0.7918805774759862,Orc,2.0,74.0,common
12,104,0.20814213062519338,Goblin,1.0,12.0,common
87,185,0.6538934116140126,Orc,2.0,174.0,common
49,59,0.6533900804301455,Orc,2.0,98.0,common
30,126,0.35745463659458365,Goblin,1.0,30.0,common
56,60,0.1973421935014955,Orc,2.0,112.0,common
77,116,0.7040026271055434,Goblin,1.0,77.0,common
92,92,0.8651095437337275,Goblin,1.0,92.0,rarity
96,57,0.571910433170125,Orc,2.0,192.0,common
41,126,0.9672216244847252,Goblin,1.0,41.0,legendary
57,132,0.8179964637630103,Goblin,1.0,57.0,rarity
90,50,0.061123237607042635,Goblin,1.0,90.0,common
19,144,0.5883294448263161,Goblin,1.0,19.0,common
83,56,0.5236969506071136,Orc,2.0,166.0,common
78,126,0.5199185159518989,Goblin,1.0,78.0,common
71,130,0.5104477538272579,Goblin,1.0,71.0,common
30,97,0.11960090170510562,Goblin,1.0,30.0,common
20,69,0.32154338093755575,Goblin,1.0,20.0,common
35,71,0.02037641355335551,Orc,2.0,70.0,common
18,166,0.6498345237083999,Goblin,1.0,18.0,common
24,92,0.7200514590568304,Dragon,10.0,240.0,common
10,195,0.8211438592019603,Goblin,1.0,10.0,rarity
46,51,0.8168002373972554,Goblin,1.0,46.0,rarity
47,174,0.8682652106866192,Goblin,1.0,47.0,rarity
58,98,0.9996529796262781,Orc,2.0,116.0,legendary
80,199,0.3699816368127984,Goblin,1.0,80.0,common
48,154,0.17677037941527118,Goblin,1.0,48.0,common
68,121,0.6323792290887608,Goblin,1.0,68.0,common
48,116,0.4910754578870573,Goblin,1.0,48.0,common
25,121,0.36728444519684134,Orc,2.0,50.0,common
51,199,0.47902804115528197,Goblin,1.0,51.0,common
57,186,0.5404796402589388,Goblin,1.0,57.0,common
82,191,0.10347938145932323,Goblin,1.0,82.0,common
87,70,0.4216632979200855,Goblin,1.0,87.0,common
89,88,0.3132000770792013,Orc,2.0,178.0,common
24,99,0.5853183051161669,Dragon,10.0,240.0,common
56,78,0.8617640125031825,Orc,2.0,112.0,rarity
45,63,0.4152837007119502,Goblin,1.0,45.0,common
31,154,0.39652628549421687,Goblin,1.0,31.0,common
86,168,0.6247373860127085,Dragon,10.0,860.0,common
20,178,0.9511831491169226,Goblin,1.0,20.0,legendary
14,115,0.9033218773586648,Goblin,1.0,14.0,rarity
19,84,0.37268149632217906,Orc,2.0,38.0,common
88,131,0.8198766357520134,Orc,2.0,176.0,rarity
27,194,0.6332773929857349,Goblin,1.0,27.0,common
35,64,0.6606722499108187,Goblin,1.0,35.0,common
80,110,0.6916251565403954,Goblin,1.0,80.0,common
14,111,0.4610677082185338,Goblin,1.0,14.0,common
61,152,0.9909066443342587,Orc,2.0,122.0,legendary
28,106,0.8634286924343891,Goblin,1.0,28.0,rarity
81,106,0.02741493744296941,Goblin,1.0,81.0,common
97,198,0.4568752966910703,Dragon,10.0,970.0,common
46,193,0.9474295290505231,Orc,2.0,92.0,rarity
88,173,0.3139641868612397,Goblin,1.0,88.0,common
50,65,0.057095889499607644,Orc,2.0,100.0,common
45,137,0.2783165983376663,Goblin,1.0,45.0,common
69,89,0.7392307424825795,Orc,2.0,138.0,common
12,124,0.9211195868927944,Goblin,1.0,12.0,rarity
80,148,0.37416236000420844,Dragon,10.0,800.0,common
52,143,0.589634143987882,Goblin,1.0,52.0,common
26,97,0.6964773077353628,Goblin,1.0,26.0,common
53,89,0.429520510285778,Goblin,1.0,53.0,common
86,62,0.6436917282043532,Goblin,1.0,86.0,common
29,117,0.8265155752276847,Goblin,1.0,29.0,rarity
27,91,0.07533509545973538,Orc,2.0,54.0,common
71,64,0.3381330082653141,Goblin,1.0,71.0,common
60,184,0.9656506234299067,Dragon,10.0,600.0,legendary
26,158,0.14302787964453345,Orc,2.0,52.0,common
36,64,0.6795732983371523,Goblin,1.0,36.0,common
38,91,0.15939138874434378,Orc,2.0,76.0,common
60,50,0.1835916867451729,Goblin,1.0,60.0,common
16,63,0.7618800230703644,Goblin,1.0,16.0,common
85,141,0.21778044315493916,Goblin,1.0,85.0,common
85,171,0.7627232185429328,Orc,2.0,170.0,common
16,87,0.07805150516357784,Orc,2.0,32.0,common
73,161,0.8702630373516101,Goblin,1.0,73.0,rarity
50,158,0.7893587024596788,Goblin,1.0,50.0,common
62,53,0.08982387038296402,Goblin,1.0,62.0,common
44,98,0.42946904612609027,Orc,2.0,88.0,common
69,68,0.5156386510860452,Orc,2.0,138.0,common
67,176,0.9903490894912448,Orc,2.0,134.0,legendary
55,133,0.37629001243590554,Orc,2.0,110.0,common
39,181,0.8953896549117839,Goblin,1.0,39.0,rarity
59,119,0.3694344566405694,Orc,2.0,118.0,common
38,138,0.38001776877648374,Goblin,1.0,38.0,common
38,85,0.20651609199232246,Goblin,1.0,38.0,common
49,84,0.5154727976037929,Goblin,1.0,49.0,common
33,54,0.9227626025193412,Goblin,1.0,33.0,rarity
43,176,0.40723110882019475,Goblin,1.0,43.0,common
89,164,0.8594296475198732,Goblin,1.0,89.0,rarity
97,107,0.2614611683738647,Goblin,1.0,97.0,common
23,176,0.6096409024871605,Goblin,1.0,23.0,common
55,84,0.5842362624120707,Goblin,1.0,55.0,common
64,83,0.45555160923671334,Goblin,1.0,64.0,common
51,65,0.30729116003876933,Goblin,1.0,51.0,common
64,127,0.5644251280528585,Goblin,1.0,64.0,common
15,132,0.28202234428136974,Goblin,1.0,15.0,common
72,170,0.9753007112211531,Orc,2.0,144.0,legendary
29,132,0.969764955384798,Orc,2.0,58.0,legendary
38,176,0.5834634792712915,Goblin,1.0,38.0,common
21,160,0.11762483487141973,Orc,2.0,42.0,common
15,139,0.3753287818429477,Orc,2.0,30.0,common
80,169,0.45130512670207523,Orc,2.0,160.0,common
60,110,0.7210815717237431,Goblin,1.0,60.0,common
24,72,0.22976761398379664,Orc,2.0,48.0,common
15,50,0.6382950728777108,Orc,2.0,30.0,common
82,79,0.23399299144804908,Goblin,1.0,82.0,common
64,72,0.4185215038920763,Goblin,1.0,64.0,common
36,133,0.1380535714301666,Goblin,1.0,36.0,common
14,67,0.3717497078340065,Goblin,1.0,14.0,common
58,78,0.7796928128076807,Goblin,1.0,58.0,common
25,94,0.6315783318947686,Orc,2.0,50.0,common
67,151,0.5890123733750565,Orc,2.0,134.0,common
13,142,0.7439324600178223,Goblin,1.0,13.0,common
19,187,0.31577911446822937,Goblin,1.0,19.0,common
86,86,0.3985744670101018,Goblin,1.0,86.0,common
35,195,0.40011530401649065,Orc,2.0,70.0,common
34,162,0.9337656852234163,Orc,2.0,68.0,rarity
84,97,0.6313656825904901,Goblin,1.0,84.0,common
44,173,0.6704810038893672,Orc,2.0,88.0,common
10,148,0.3670129702160766,Goblin,1.0,10.0,common
20,143,0.6166154066527662,Orc,2.0,40.0,common
81,86,0.09338754654851655,Goblin,1.0,81.0,common
78,153,0.6424661611048933,Orc,2.0,156.0,common
75,125,0.5907172537914092,Goblin,1.0,75.0,common
32,146,0.9222269468674478,Goblin,1.0,32.0,rarity
81,77,0.7385673287911496,Orc,2.0,162.0,common
20,70,0.1081895220085346,Goblin,1.0,20.0,common
59,52,0.3339493135938272,Goblin,1.0,59.0,common
26,142,0.03131253899437403,Orc,2.0,52.0,common
56,128,0.9479834221717262,Goblin,1.0,56.0,rarity
63,60,0.38213244759571363,Goblin,1.0,63.0,common
72,126,0.7843809602521029,Goblin,1.0,72.0,common
31,65,0.7883130391215188,Orc,2.0,62.0,common
12,58,0.10339239679090806,Orc,2.0,24.0,common
73,168,0.5730659674544181,Goblin,1.0,73.0,common
92,79,0.21748458477011645,Dragon,10.0,920.0,common
22,66,0.9375340021866628,Orc,2.0,44.0,rarity
37,122,0.049339683314723715,Orc,2.0,74.0,common
11,129,0.4146010562265324,Orc,2.0,22.0,common
75,119,0.4023737035217252,Orc,2.0,150.0,common
40,98,0.7693042564034261,Goblin,1.0,40.0,common
69,74,0.7140579386499875,Goblin,1.0,69.0,common
60,179,0.09849947988331109,Goblin,1.0,60.0,common
58,70,0.06803331674297153,Orc,2.0,116.0,common
23,110,0.7636587886899254,Orc,2.0,46.0,common
23,153,0.30158287680323204,Orc,2.0,46.0,common
45,184,0.3747050912186264,Orc,2.0,90.0,common
32,62,0.8677110559376724,Goblin,1.0,32.0,rarity
87,177,0.49450017071848784,Goblin,1.0,87.0,common
85,104,0.6162024262592556,Goblin,1.0,85.0,common
96,197,0.8318293715649104,Orc,2.0,192.0,rarity
91,108,0.5976454818001568,Orc,2.0,182.0,common
25,186,0.9489828322630218,Goblin,1.0,25.0,rarity
22,155,0.038891925945967576,Goblin,1.0,22.0,common
90,184,0.5199770228574326,Goblin,1.0,90.0,common
54,146,0.22052939964791085,Goblin,1.0,54.0,common
70,106,0.8701012478739125,Goblin,1.0,70.0,rarity
44,145,0.016432316419002113,Orc,2.0,88.0,common
32,145,0.5646878395830618,Goblin,1.0,32.0,common
86,50,0.786403811873664,Orc,2.0,172.0,common
62,121,0.34854354263028176,Dragon,10.0,620.0,common
67,69,0.29410453263716807,Orc,2.0,134.0,common
96,169,0.4366193279538072,Orc,2.0,192.0,common
16,79,0.08174387781592951,Orc,2.0,32.0,common
79,116,0.021272383643508364,Orc,2.0,158.0,common
81,65,0.4468763393293781,Orc,2.0,162.0,common
87,130,0.5464380391990623,Goblin,1.0,87.0,common
72,174,0.004291225409991939,Goblin,1.0,72.0,common
22,96,0.32687131370734324,Goblin,1.0,22.0,common
99,64,0.34854181838516707,Goblin,1.0,99.0,common
21,91,0.7141068282025973,Goblin,1.0,21.0,common
76,164,0.8846364357490737,Goblin,1.0,76.0,rarity
90,117,0.020205553064411852,Goblin,1.0,90.0,common
98,98,0.3413594846571075,Goblin,1.0,98.0,common
73,173,0.6910149937864835,Orc,2.0,146.0,common
95,58,0.9289683965389056,Orc,2.0,190.0,rarity
46,63,0.11474318139772322,Orc,2.0,92.0,common
89,136,0.2766605391386002,Goblin,1.0,89.0,common
79,83,0.7869600361027613,Orc,2.0,158.0,common
31,155,0.06091916031663658,Orc,2.0,62.0,common
35,124,0.7565759309766752,Goblin,1.0,35.0,common
77,181,0.2045392392963935,Orc,2.0,154.0,common
68,153,0.029836750923641464,Goblin,1.0,68.0,common
62,164,0.9788781406657324,Goblin,1.0,62.0,legendary
19,117,0.9278021619025265,Goblin,1.0,19.0,rarity
48,143,0.14896901570877208,Goblin,1.0,48.0,common
82,87,0.4381223586732379,Goblin,1.0,82.0,common
90,154,0.9519197587456262,Goblin,1.0,90.0,legendary
49,178,0.8898658081307668,Goblin,1.0,49.0,rarity
67,80,0.8862682864972482,Goblin,1.0,67.0,rarity
68,89,0.09642868743589283,Orc,2.0,136.0,common
34,55,0.7367199452986036,Orc,2.0,68.0,common
29,106,0.9203938432858949,Goblin,1.0,29.0,rarity
85,120,0.24846710429898244,Orc,2.0,170.0,common
65,54,0.25945730874584483,Orc,2.0,130.0,common
99,65,0.24827554193311918,Orc,2.0,198.0,common
36,101,0.8971787450155163,Goblin,1.0,36.0,rarity
22,64,0.6110640393948689,Goblin,1.0,22.0,common
95,93,0.45210257287735045,Dragon,10.0,950.0,common
86,126,0.11608991130413215,Orc,2.0,172.0,common
92,83,0.6856145330996823,Goblin,1.0,92.0,common
13,171,0.8273225608778404,Goblin,1.0,13.0,rarity
94,187,0.3231894950569838,Goblin,1.0,94.0,common
83,73,0.14267654887005354,Goblin,1.0,83.0,common
86,128,0.002265384825534511,Goblin,1.0,86.0,common
61,101,0.01645035904670089,Orc,2.0,122.0,common
16,166,0.851028545585901,Orc,2.0,32.0,rarity
93,137,0.912467172221619,Goblin,1.0,93.0,rarity
46,156,0.3866978401850035,Orc,2.0,92.0,common
44,69,0.15628081377031555,Goblin,1.0,44.0,common
39,184,0.36601487517219256,Goblin,1.0,39.0,common
54,111,0.9009164268414691,Goblin,1.0,54.0,rarity
42,80,0.5425262557629205,Goblin,1.0,42.0,common
41,114,0.7451452314331258,Goblin,1.0,41.0,common
45,133,0.11775587053876235,Orc,2.0,90.0,common
82,176,0.3665306298754363,Orc,2.0,164.0,common
54,137,0.8913831138749639,Goblin,1.0,54.0,rarity
48,114,0.40392865374786213,Goblin,1.0,48.0,common
50,100,0.49786738702659594,Goblin,1.0,50.0,common
60,77,0.9267697698074545,Goblin,1.0,60.0,rarity
68,148,0.206006109008119,Orc,2.0,136.0,common
30,108,0.14531658936700897,Goblin,1.0,30.0,common
75,167,0.24829490044063762,Goblin,1.0,75.0,common
65,134,0.1665086678738409,Dragon,10.0,650.0,common
53,65,0.8265808259993165,Goblin,1.0,53.0,rarity
17,109,0.7587537071643649,Orc,2.0,34.0,common
72,102,0.9426096599290872,Orc,2.0,144.0,rarity
78,125,0.039879580314696295,Goblin,1.0,78.0,common
22,115,0.4579999082341215,Goblin,1.0,22.0,common
20,66,0.19828112313209967,Goblin,1.0,20.0,common
38,91,0.08678348937861702,Goblin,1.0,38.0,common
24,103,0.9234072179990118,Goblin,1.0,24.0,rarity
22,147,0.5628838949762193,Orc,2.0,44.0,common
73,54,0.43126999265811616,Orc,2.0,146.0,common
14,82,0.15644926365203693,Orc,2.0,28.0,common
64,126,0.1777156826485069,Goblin,1.0,64.0,common
47,82,0.0031417729045694065,Goblin,1.0,47.0,common
60,123,0.045181955894066705,Dragon,10.0,600.0,common
50,83,0.4427271244189005,Orc,2.0,100.0,common
88,64,0.046250754334053346,Goblin,1.0,88.0,common
58,171,0.6572236192565002,Goblin,1.0,58.0,common
84,147,0.6602188755213994,Orc,2.0,168.0,common
81,54,0.189751981488551,Goblin,1.0,81.0,common
49,188,0.8509862430348312,Goblin,1.0,49.0,rarity
74,168,0.09301180463280379,Goblin,1.0,74.0,common
19,194,0.31750263381999333,Orc,2.0,38.0,common
93,135,0.06321130228012906,Dragon,10.0,930.0,common
79,105,0.8925490216064464,Goblin,1.0,79.0,rarity
50,73,0.45193196798628377,Goblin,1.0,50.0,common
58,177,0.9175066061934224,Orc,2.0,116.0,rarity
84,90,0.4039068184938934,Goblin,1.0,84.0,common
47,75,0.6884122016357582,Goblin,1.0,47.0,common
97,58,0.5845095430748709,Orc,2.0,194.0,common
88,58,0.2875739359451077,Orc,2.0,176.0,common
71,135,0.8846950506855527,Goblin,1.0,71.0,rarity
24,127,0.0204594593012688,Orc,2.0,48.0,common
54,162,0.4408062554202057,Orc,2.0,108.0,common
13,187,0.0038658850668038536,Orc,2.0,26.0,common
65,68,0.5064224807134851,Orc,2.0,130.0,common
89,172,0.07757029682987793,Goblin,1.0,89.0,common
88,134,0.8681668696284904,Goblin,1.0,88.0,rarity
65,166,0.6607693898335716,Goblin,1.0,65.0,common
73,85,0.778347834353721,Goblin,1.0,73.0,common
12,63,0.38160647030335304,Orc,2.0,24.0,common
93,91,0.7754429130747851,Goblin,1.0,93.0,common
57,149,0.04840142941967984,Orc,2.0,114.0,common
92,159,0.9477160631613158,Orc,2.0,184.0,rarity
35,73,0.38880900735349777,Goblin,1.0,35.0,common
63,185,0.1064344212292695,Goblin,1.0,63.0,common
60,164,0.39521452091852616,Dragon,10.0,600.0,common
10,106,0.05410284705720103,Goblin,1.0,10.0,common
96,108,0.2896742734779254,Orc,2.0,192.0,common
70,92,0.4569365759524766,Orc,2.0,140.0,common
65,78,0.044938705621305974,Goblin,1.0,65.0,common
